eui,deveui,payload,date,temperature,humidity,sound,movement,flame,lux,emergency
d27e8ab4-04e5-4a57-918e-ede776a865be,401541667-8,65cc9a6bfc13ae5dde55bf59,2024-02-07T10:39:39Z,175,173,26,1,0,93,1
bd2a5773-388c-4ab6-80c9-1f93552b24e8,715951241-3,65cc9a6bfc13ae5dde55bf5a,2024-02-08T03:23:19Z,116,202,244,0,0,239,1
07e3c641-72b2-40bf-8b34-35711417b548,858697209-6,65cc9a6bfc13ae5dde55bf5b,2024-02-11T08:43:22Z,228,157,248,0,1,90,0
47553211-f29b-490f-9c1c-a0c5beea8db0,055145177-7,65cc9a6bfc13ae5dde55bf5c,2024-02-12T18:19:18Z,221,248,203,0,1,130,1
78c633a3-7529-4392-a7c3-724d7cd60d7d,916966296-7,65cc9a6bfc13ae5dde55bf5d,2024-02-12T00:03:23Z,17,97,129,1,0,209,1
69aa6003-c263-4d26-aee5-30055f0147fc,590745636-1,65cc9a6bfc13ae5dde55bf5e,2024-02-12T23:57:56Z,146,197,174,1,0,14,1
60da836e-670a-4349-81b6-82cf07fdf7df,888449486-9,65cc9a6bfc13ae5dde55bf5f,2024-02-13T10:55:46Z,47,73,177,0,1,55,0
1d312a5c-270c-464a-8d0c-a44b345f3f2b,768954205-0,65cc9a6bfc13ae5dde55bf60,2024-02-13T05:41:26Z,250,91,223,1,0,76,1
ef5d8098-ae8e-4e40-b198-bfb2d476c30c,344771234-1,65cc9a6bfc13ae5dde55bf61,2024-02-11T02:47:42Z,162,117,37,0,1,123,1
8e0bd192-2880-470d-90d8-62e0ae2c7f05,719203619-6,65cc9a6bfc13ae5dde55bf62,2024-02-12T23:29:04Z,108,64,52,0,1,192,0
8c7da7f6-0c6d-4e4c-882b-e3a14a4c7b17,390061093-2,65cc9a6bfc13ae5dde55bf63,2024-02-09T01:42:08Z,21,58,56,0,0,126,1
63efc8e9-acd0-44c1-9979-537d5595729e,226393862-1,65cc9a6bfc13ae5dde55bf64,2024-02-12T05:04:45Z,137,234,58,0,1,124,1
0d966120-0ad6-418c-a266-e7631f98a20c,519855705-6,65cc9a6bfc13ae5dde55bf65,2024-02-08T19:40:29Z,153,129,120,1,1,144,1
00a0a69d-16a9-46e6-8d07-d8a7cbd54827,750939269-1,65cc9a6bfc13ae5dde55bf66,2024-02-07T12:31:19Z,6,129,164,1,1,142,0
122a3392-e3db-4ccb-bec5-f77a96dbf3fa,948391156-7,65cc9a6bfc13ae5dde55bf67,2024-02-11T07:15:52Z,227,106,131,0,1,232,1
bbba3773-7cb5-4f38-8ea2-b5d550717956,568916244-2,65cc9a6bfc13ae5dde55bf68,2024-02-13T06:10:37Z,15,73,170,0,1,9,0
e3f10c4e-38c8-4e0e-af01-2690dc42b586,512309041-X,65cc9a6bfc13ae5dde55bf69,2024-02-10T11:45:25Z,217,38,97,1,0,215,0
745cc559-4b2c-4006-ba42-02c2dc5aca08,587892947-3,65cc9a6bfc13ae5dde55bf6a,2024-02-08T09:08:48Z,194,13,39,1,1,133,1
6d543ace-8c5c-480a-9b4a-edee65b2dea0,567789316-1,65cc9a6bfc13ae5dde55bf6b,2024-02-10T03:55:33Z,8,29,203,0,0,77,1
0235731b-621c-49e6-bf37-bba929222ce5,423159780-4,65cc9a6bfc13ae5dde55bf6c,2024-02-11T00:21:46Z,20,135,158,1,0,208,0
67a1677a-af64-49a4-aeb9-487f65dc10b4,011321262-3,65cc9a6bfc13ae5dde55bf6d,2024-02-08T13:10:20Z,150,44,145,1,1,254,1
3b6bf5c8-295e-44d6-9d4b-10289b4d303d,907504398-8,65cc9a6bfc13ae5dde55bf6e,2024-02-13T05:48:58Z,136,109,111,1,0,49,0
0f775481-2979-4c25-946d-d92d5d5b4180,337773216-0,65cc9a6bfc13ae5dde55bf6f,2024-02-13T22:20:16Z,75,78,136,0,0,13,0
3eb0c078-7eee-481e-b401-f04a3403aa39,677852645-9,65cc9a6bfc13ae5dde55bf70,2024-02-07T16:00:29Z,55,54,98,0,1,149,1
f054c6a0-d438-4bc6-9619-979b93588fcd,998408453-1,65cc9a6bfc13ae5dde55bf71,2024-02-12T14:05:58Z,136,89,198,0,0,152,1
5d7c0931-feaf-4b43-8623-d635f562e50f,604484797-7,65cc9a6bfc13ae5dde55bf72,2024-02-09T07:56:23Z,227,27,211,0,0,100,1
19b9b073-1ad3-4c08-9ea5-6ffa31e44aaf,491523043-0,65cc9a6bfc13ae5dde55bf73,2024-02-13T12:59:08Z,95,121,53,1,1,122,1
0e6d4493-ee93-4af5-b67b-b9d8ed72593e,981148246-2,65cc9a6bfc13ae5dde55bf74,2024-02-13T00:37:55Z,255,182,148,1,0,242,0
1dc458bb-11c7-4c09-98cf-8bbac0824f7c,946997605-3,65cc9a6bfc13ae5dde55bf75,2024-02-12T17:23:23Z,94,155,120,0,1,14,0
a7b5c6c1-dca7-4784-8525-ec49d722f608,678711730-2,65cc9a6bfc13ae5dde55bf76,2024-02-07T09:08:29Z,138,192,233,0,1,128,1
c3c902cc-452c-4c3a-b9ba-cc7ae70d9775,145541695-9,65cc9a6bfc13ae5dde55bf77,2024-02-12T20:01:04Z,252,66,105,1,0,249,1
0dad6de7-e024-4638-be8d-ac6a39eba102,562636842-6,65cc9a6bfc13ae5dde55bf78,2024-02-10T04:39:10Z,67,26,238,0,1,183,0
b0f0c592-6088-478b-b269-301c734a0ada,843361418-5,65cc9a6bfc13ae5dde55bf79,2024-02-12T16:21:58Z,201,242,172,0,1,42,1
cae3d87a-f99b-4c1a-bd57-1abc03b92c7b,495999599-8,65cc9a6bfc13ae5dde55bf7a,2024-02-13T17:06:50Z,103,3,64,0,1,64,1
12917b12-c168-4723-9132-cf121b020ba0,129309965-1,65cc9a6bfc13ae5dde55bf7b,2024-02-07T13:18:31Z,109,159,197,0,0,59,1
21e00362-107c-4dc3-86c7-7c2f65f4ef41,410516322-1,65cc9a6bfc13ae5dde55bf7c,2024-02-09T04:12:50Z,4,59,65,0,1,212,1
02942036-c312-4ec9-b9ba-9a23373332ce,801057959-9,65cc9a6bfc13ae5dde55bf7d,2024-02-08T16:56:10Z,28,178,157,0,1,254,1
ab11c061-8a24-41f6-91af-973043af53e6,829405745-2,65cc9a6bfc13ae5dde55bf7e,2024-02-13T11:30:05Z,83,199,117,1,1,202,1
19a11e30-b2e1-415a-b40b-ff9e3423a845,972842055-2,65cc9a6bfc13ae5dde55bf7f,2024-02-12T23:06:50Z,22,159,22,0,1,157,1
c327ef12-3341-4f23-ac35-d3a34a45696e,664736337-8,65cc9a6bfc13ae5dde55bf80,2024-02-08T05:59:41Z,26,136,44,0,0,32,1
67a3ac5d-25b8-484f-b808-dcdd15c9c765,480508714-5,65cc9a6bfc13ae5dde55bf81,2024-02-07T08:29:10Z,190,65,24,0,1,96,1
26c980c4-3e63-454c-ab72-f6e80097e627,079064496-7,65cc9a6bfc13ae5dde55bf82,2024-02-07T23:34:06Z,253,76,196,0,0,241,0
